,m,n,beta,d,b_batch,seed,gap
0,30,7,0.0,2,1,42,0.7666666666666666
1,30,7,0.0,2,1,67,1.7666666666666666
2,30,7,0.0,2,1,77,0.7666666666666666
3,30,7,0.0,2,1,69,0.7666666666666666
4,30,7,0.0,2,1,13,1.7666666666666666
5,30,7,0.0,2,1,28430,1.7666666666666666
6,30,7,0.0,2,1,44015,1.7666666666666666
7,30,7,0.0,2,1,42699,1.7666666666666666
8,30,7,0.0,2,1,57975,1.7666666666666666
9,30,7,0.0,2,1,32146,0.7666666666666666
10,30,7,0.25,2,1,42,1.7666666666666666
11,30,7,0.25,2,1,67,1.7666666666666666
12,30,7,0.25,2,1,77,0.7666666666666666
13,30,7,0.25,2,1,69,1.7666666666666666
14,30,7,0.25,2,1,13,1.7666666666666666
15,30,7,0.25,2,1,28430,0.7666666666666666
16,30,7,0.25,2,1,44015,1.7666666666666666
17,30,7,0.25,2,1,42699,1.7666666666666666
18,30,7,0.25,2,1,57975,0.7666666666666666
19,30,7,0.25,2,1,32146,0.7666666666666666
20,30,7,0.5,2,1,42,0.7666666666666666
21,30,7,0.5,2,1,67,0.7666666666666666
22,30,7,0.5,2,1,77,0.7666666666666666
23,30,7,0.5,2,1,69,1.7666666666666666
24,30,7,0.5,2,1,13,1.7666666666666666
25,30,7,0.5,2,1,28430,1.7666666666666666
26,30,7,0.5,2,1,44015,0.7666666666666666
27,30,7,0.5,2,1,42699,1.7666666666666666
28,30,7,0.5,2,1,57975,1.7666666666666666
29,30,7,0.5,2,1,32146,0.7666666666666666
30,30,7,0.75,2,1,42,1.7666666666666666
31,30,7,0.75,2,1,67,0.7666666666666666
32,30,7,0.75,2,1,77,0.7666666666666666
33,30,7,0.75,2,1,69,0.7666666666666666
34,30,7,0.75,2,1,13,1.7666666666666666
35,30,7,0.75,2,1,28430,0.7666666666666666
36,30,7,0.75,2,1,44015,1.7666666666666666
37,30,7,0.75,2,1,42699,0.7666666666666666
38,30,7,0.75,2,1,57975,2.7666666666666666
39,30,7,0.75,2,1,32146,1.7666666666666666
40,30,7,1.0,2,1,42,0.7666666666666666
41,30,7,1.0,2,1,67,0.7666666666666666
42,30,7,1.0,2,1,77,0.7666666666666666
43,30,7,1.0,2,1,69,0.7666666666666666
44,30,7,1.0,2,1,13,0.7666666666666666
45,30,7,1.0,2,1,28430,0.7666666666666666
46,30,7,1.0,2,1,44015,0.7666666666666666
47,30,7,1.0,2,1,42699,0.7666666666666666
48,30,7,1.0,2,1,57975,1.7666666666666666
49,30,7,1.0,2,1,32146,0.7666666666666666
50,30,15,0.0,2,1,42,2.5
51,30,15,0.0,2,1,67,2.5
52,30,15,0.0,2,1,77,1.5
53,30,15,0.0,2,1,69,1.5
54,30,15,0.0,2,1,13,1.5
55,30,15,0.0,2,1,28430,1.5
56,30,15,0.0,2,1,44015,2.5
57,30,15,0.0,2,1,42699,1.5
58,30,15,0.0,2,1,57975,1.5
59,30,15,0.0,2,1,32146,2.5
60,30,15,0.25,2,1,42,3.5
61,30,15,0.25,2,1,67,1.5
