m,beta,d,b_batch,gap_mean,gap_std,gap_var
2,0,2,1,0.42,0.3958973274443148,0.156734693877551
2,1,2,1,0.42,0.3958973274443148,0.156734693877551
5,0,2,1,1.1,0.4393441200402636,0.19302325581395355
5,1,2,1,0.8846153846153846,0.4060514227299464,0.1648777579010136
10,0,2,1,1.4952380952380953,0.7151646449281499,0.5114604693552067
10,1,2,1,1.1666666666666667,0.5109643133385953,0.2610845295055822
20,0,2,1,2.0329268292682925,0.7805403554376256,0.6092432464666949
20,1,2,1,1.447560975609756,0.4598755039768592,0.21148547915797025
30,0,2,1,2.189617486338798,0.7320320091246122,0.5358708623830163
30,1,2,1,1.633879781420765,0.48880896258930573,0.2389342019076333
40,0,2,1,2.4290123456790123,0.7214214867388437,0.5204489615284835
40,1,2,1,1.7179012345679012,0.47517537208727084,0.2257916342382763
50,0,2,1,2.4936633663366337,0.701997324321372,0.49280024335436556
50,1,2,1,1.7758415841584156,0.46866799279049226,0.21964968746626892
60,0,2,1,2.6987603305785126,0.7589134741766703,0.5759496612869037
60,1,2,1,1.8334710743801652,0.48001363149895715,0.23041308642481664
70,0,2,1,2.7004052684903748,0.676724982434384,0.4579567018508172
70,1,2,1,1.8876393110435663,0.4419134478887355,0.19528749542491014
80,0,2,1,2.8767080745341613,0.7690613008866471,0.591455284521462
80,1,2,1,1.9096273291925465,0.4788736113116251,0.22931993561063738
90,0,2,1,2.9041743400859423,0.6956035179621611,0.48386425420133466
90,1,2,1,1.9522406384284838,0.4857923060714702,0.23599416463823703
100,0,2,1,2.9997512437810947,0.842832006836521,0.7103657917480775
100,1,2,1,1.9694029850746269,0.45627273657911055,0.20818481014539042
