,m,n,beta,d,b_batch,seed,gap
0,2,1,0,2,1,42,0.5
1,2,1,0,2,1,67,0.5
2,2,1,0,2,1,77,0.5
3,2,1,0,2,1,69,0.5
4,2,1,0,2,1,13,0.5
5,2,1,0,2,1,28430,0.5
6,2,1,0,2,1,44015,0.5
7,2,1,0,2,1,42699,0.5
8,2,1,0,2,1,57975,0.5
9,2,1,0,2,1,32146,0.5
10,2,1,1,2,1,42,0.5
11,2,1,1,2,1,67,0.5
12,2,1,1,2,1,77,0.5
13,2,1,1,2,1,69,0.5
14,2,1,1,2,1,13,0.5
15,2,1,1,2,1,28430,0.5
16,2,1,1,2,1,44015,0.5
17,2,1,1,2,1,42699,0.5
18,2,1,1,2,1,57975,0.5
19,2,1,1,2,1,32146,0.5
20,2,1,0,2,1,42,0.5
21,2,1,0,2,1,67,0.5
22,2,1,0,2,1,77,0.5
23,2,1,0,2,1,69,0.5
24,2,1,0,2,1,13,0.5
25,2,1,0,2,1,28430,0.5
26,2,1,0,2,1,44015,0.5
27,2,1,0,2,1,42699,0.5
28,2,1,0,2,1,57975,0.5
29,2,1,0,2,1,32146,0.5
30,2,1,1,2,1,42,0.5
31,2,1,1,2,1,67,0.5
32,2,1,1,2,1,77,0.5
33,2,1,1,2,1,69,0.5
34,2,1,1,2,1,13,0.5
35,2,1,1,2,1,28430,0.5
36,2,1,1,2,1,44015,0.5
37,2,1,1,2,1,42699,0.5
38,2,1,1,2,1,57975,0.5
39,2,1,1,2,1,32146,0.5
40,2,2,0,2,1,42,0.0
41,2,2,0,2,1,67,0.0
42,2,2,0,2,1,77,0.0
43,2,2,0,2,1,69,0.0
44,2,2,0,2,1,13,0.0
45,2,2,0,2,1,28430,0.0
46,2,2,0,2,1,44015,1.0
47,2,2,0,2,1,42699,0.0
48,2,2,0,2,1,57975,0.0
49,2,2,0,2,1,32146,0.0
50,2,2,1,2,1,42,0.0
51,2,2,1,2,1,67,0.0
52,2,2,1,2,1,77,0.0
53,2,2,1,2,1,69,0.0
54,2,2,1,2,1,13,0.0
55,2,2,1,2,1,28430,0.0
56,2,2,1,2,1,44015,1.0
57,2,2,1,2,1,42699,0.0
58,2,2,1,2,1,57975,0.0
