m,beta,d,b_batch,gap_mean,gap_std,gap_var
100,0.0,2,1,17.70820895522388,6.132577475815804,37.608506496883344
100,0.0,2,101,17.93838383838384,5.883361093850011,34.613937760628005
100,0.0,2,201,18.08265306122449,5.735963857114908,32.90128137012853
100,0.0,2,301,18.214948453608248,5.613881091101405,31.515660905025896
100,0.0,2,401,18.339583333333334,5.506194894203997,30.318182212958167
100,0.0,2,501,18.463684210526317,5.397471479600888,29.132698373105004
100,0.0,2,601,18.582978723404256,5.297536521635019,28.06389319805685
100,0.0,2,701,18.701612903225808,5.19713037680068,27.010164153464377
100,0.0,2,801,18.81141304347826,5.111724058738355,26.129722852684527
100,0.0,2,901,18.92087912087912,5.02747298931356,25.275484658277424
100,0.0,2,1001,19.024444444444445,4.955270995789689,24.554710641714543
100,0.0,2,1101,19.131460674157303,4.876826747421541,23.783439124366165
100,0.0,2,1201,19.238636363636363,4.796469988180001,23.006124347511463
100,0.0,2,1301,19.342528735632182,4.720926756316669,22.287149438506624
100,0.0,2,1401,19.444767441860463,4.64866591275996,21.610094768456396
100,0.0,2,1501,19.545882352941177,4.576530011174898,20.944626943184517
100,0.0,2,1601,19.648214285714285,4.5020076682720225,20.268073045180095
100,0.0,2,1701,19.748192771084337,4.431464881908234,19.637880999585953
100,0.0,2,1801,19.853048780487804,4.350673701528016,18.928361657167486
100,0.0,2,1901,19.958024691358023,4.268884627143175,18.22337595985932
100,0.0,2,2001,20.05625,4.197361920532035,17.61784709193238
100,0.0,2,2101,20.154430379746834,4.127927328880103,17.039784032515225
100,0.0,2,2201,20.253205128205128,4.056210560906072,16.452844114405952
100,0.0,2,2301,20.35,3.9854225926951856,15.883593242365215
100,0.0,2,2401,20.444736842105264,3.9190591075961927,15.359024288832668
100,0.0,2,2501,20.527333333333335,3.8731882578063668,15.001587280409119
100,0.0,2,2601,20.61216216216216,3.823734734063648,14.620947316484799
100,0.0,2,2701,20.70068493150685,3.767551961522886,14.194447782774944
100,0.0,2,2801,20.78125,3.7269648077556106,13.890266678248814
100,0.0,2,2901,20.866901408450705,3.677670499154377,13.525260300350403
100,0.0,2,3001,20.94857142857143,3.6348028964987162,13.211792096395458
100,0.0,2,3101,21.018840579710144,3.6052505970102304,12.997831867242624
100,0.0,2,3201,21.084558823529413,3.584292005370132,12.84714917976024
100,0.0,2,3301,21.155223880597013,3.55803411253413,12.659606745956536
100,0.0,2,3401,21.223484848484848,3.534093877827638,12.489819537298791
100,0.0,2,3501,21.290769230769232,3.510195118457854,12.321469769645349
100,0.0,2,3601,21.35859375,3.4829424024146425,12.130887778537883
100,0.0,2,3701,21.42936507936508,3.4499960852349125,11.902472988136221
100,0.0,2,3801,21.495967741935484,3.4202525333690663,11.698127392017515
100,0.0,2,3901,21.557377049180328,3.39937788143198,11.555769980768979
100,0.0,2,4001,21.621666666666666,3.3757261186168654,11.395526827912088
100,0.0,2,4101,21.683898305084746,3.3554727956890873,11.25919768260954
100,0.0,2,4201,21.748275862068965,3.332779202797929,11.1074172146024
100,0.0,2,4301,21.818421052631578,3.2989626642530836,10.883154660135803
100,0.0,2,4401,21.873214285714287,3.2720000454162776,10.705984297204122
100,0.0,2,4501,21.925454545454546,3.2511476622388074,10.569961121680862
100,0.0,2,4601,21.975925925925925,3.2367751995429637,10.476713692376391
100,0.0,2,4701,22.030188679245285,3.218151711232716,10.356500436510059
100,0.0,2,4801,22.092307692307692,3.1980110610233656,10.227274746427794
100,0.0,2,4901,22.16078431372549,3.177313375651545,10.095320287094214
100,0.0,2,5001,22.227,3.164883487189933,10.016487487487511
100,0.0,2,5101,22.285714285714285,3.161227700120992,9.993360572012257
100,0.0,2,5201,22.342708333333334,3.157533811197671,9.970019768856492
100,0.0,2,5301,22.402127659574468,3.1539308510637367,9.947279813291626
100,0.0,2,5401,22.470652173913045,3.138480952034709,9.85006268628469
100,0.0,2,5501,22.536666666666665,3.1237526987980453,9.75783092324807
100,0.0,2,5601,22.602272727272727,3.107441883023029,9.656195056365709
100,0.0,2,5701,22.66627906976744,3.0935589875696667,9.570107209573061
100,0.0,2,5801,22.723809523809525,3.0842217961153002,9.512424087632688
100,0.0,2,5901,22.78292682926829,3.069575976175891,9.422296673516176
100,0.0,2,6001,22.83125,3.0689242916508803,9.418296307884859
100,0.0,2,6101,22.882051282051282,3.068881603736429,9.418034297751877
100,0.0,2,6201,22.935526315789474,3.0717894407353206,9.435890368213013
100,0.0,2,6301,22.987837837837837,3.0716281094804834,9.43489924295065
100,0.0,2,6401,23.03472222222222,3.0701424412879508,9.42577460979754
100,0.0,2,6501,23.087142857142858,3.069109624164969,9.419433885142038
100,0.0,2,6601,23.133823529411764,3.068876029857282,9.418000086632592
100,0.0,2,6701,23.172727272727272,3.0642609435821244,9.389695130362812
100,0.0,2,6801,23.2078125,3.0638384941876997,9.387106318466351
100,0.0,2,6901,23.230645161290322,3.0785404882606695,9.477411537860242
