m,beta,d,b_batch,gap_mean,gap_std,gap_var
2,0.0,2,1,0.66,0.4010403138505321,0.16083333333333333
2,0.25,2,1,0.58,0.3730504880933232,0.1391666666666667
2,0.5,2,1,0.58,0.3730504880933232,0.13916666666666666
2,0.75,2,1,0.5,0.32274861218395134,0.10416666666666664
2,1.0,2,1,0.42,0.3122498999199199,0.09749999999999999
5,0.0,2,1,1.6153846153846154,0.7135366951913653,0.5091346153846154
5,0.25,2,1,1.3076923076923077,0.6205611604396087,0.38509615384615387
5,0.5,2,1,1.1384615384615384,0.6143320324985879,0.37740384615384603
5,0.75,2,1,1.0,0.5477225575051661,0.29999999999999993
5,1.0,2,1,0.8461538461538461,0.38040969816966874,0.14471153846153847
10,0.0,2,1,3.0285714285714285,1.4813399784884402,2.1943681318681323
10,0.25,2,1,2.6285714285714286,1.188139648431877,1.4116758241758243
10,0.5,2,1,2.019047619047619,1.048175634696858,1.098672161172161
10,0.75,2,1,1.4761904761904763,0.7171690887311736,0.5143315018315019
10,1.0,2,1,1.2095238095238094,0.5197121632218479,0.27010073260073264
30,0.0,2,1,8.737158469945356,3.7427273452681695,14.00800798101812
30,0.25,2,1,5.281420765027322,1.9959528183675252,3.983827653149267
30,0.5,2,1,3.373224043715847,1.3116635412049955,1.720461245326429
30,0.75,2,1,2.251912568306011,0.8694692495748676,0.7559767759562833
30,1.0,2,1,1.533879781420765,0.461828452053014,0.21328551912568305
50,0.0,2,1,11.81940594059406,4.136624510975824,17.11166234480597
50,0.25,2,1,6.371881188118812,2.1469010117165825,4.609183954109686
50,0.5,2,1,3.845148514851485,1.2275270451400941,1.5068226465503707
50,0.75,2,1,2.548118811881188,0.7708332855486305,0.5941839541096966
50,1.0,2,1,1.6847524752475247,0.4409598883501107,0.19444562313374206
100,0.0,2,1,17.22860696517413,5.94846644418549,35.38425303760077
100,0.25,2,1,8.038557213930348,2.037208270601945,4.150217537808967
100,0.5,2,1,4.35,1.0005974310997934,1.0011952191235058
100,0.75,2,1,2.714179104477612,0.6297808761413612,0.3966239519533806
100,1.0,2,1,1.8126865671641792,0.3846542741555746,0.14795891062615196
