,m,n,beta,d,b_batch,seed,gap
0,2,1,0.0,2,1,42,0.5
1,2,1,0.0,2,1,67,0.5
2,2,1,0.0,2,1,77,0.5
3,2,1,0.0,2,1,69,0.5
4,2,1,0.0,2,1,13,0.5
5,2,1,0.25,2,1,42,0.5
6,2,1,0.25,2,1,67,0.5
7,2,1,0.25,2,1,77,0.5
8,2,1,0.25,2,1,69,0.5
9,2,1,0.25,2,1,13,0.5
10,2,1,0.5,2,1,42,0.5
11,2,1,0.5,2,1,67,0.5
12,2,1,0.5,2,1,77,0.5
13,2,1,0.5,2,1,69,0.5
14,2,1,0.5,2,1,13,0.5
15,2,1,0.75,2,1,42,0.5
16,2,1,0.75,2,1,67,0.5
17,2,1,0.75,2,1,77,0.5
18,2,1,0.75,2,1,69,0.5
19,2,1,0.75,2,1,13,0.5
20,2,1,1.0,2,1,42,0.5
21,2,1,1.0,2,1,67,0.5
22,2,1,1.0,2,1,77,0.5
23,2,1,1.0,2,1,69,0.5
24,2,1,1.0,2,1,13,0.5
25,2,1,0.0,2,1,42,0.5
26,2,1,0.0,2,1,67,0.5
27,2,1,0.0,2,1,77,0.5
28,2,1,0.0,2,1,69,0.5
29,2,1,0.0,2,1,13,0.5
30,2,1,0.25,2,1,42,0.5
31,2,1,0.25,2,1,67,0.5
32,2,1,0.25,2,1,77,0.5
33,2,1,0.25,2,1,69,0.5
34,2,1,0.25,2,1,13,0.5
35,2,1,0.5,2,1,42,0.5
36,2,1,0.5,2,1,67,0.5
37,2,1,0.5,2,1,77,0.5
38,2,1,0.5,2,1,69,0.5
39,2,1,0.5,2,1,13,0.5
40,2,1,0.75,2,1,42,0.5
41,2,1,0.75,2,1,67,0.5
42,2,1,0.75,2,1,77,0.5
43,2,1,0.75,2,1,69,0.5
44,2,1,0.75,2,1,13,0.5
45,2,1,1.0,2,1,42,0.5
46,2,1,1.0,2,1,67,0.5
47,2,1,1.0,2,1,77,0.5
48,2,1,1.0,2,1,69,0.5
49,2,1,1.0,2,1,13,0.5
50,2,2,0.0,2,1,42,0.0
51,2,2,0.0,2,1,67,0.0
52,2,2,0.0,2,1,77,1.0
53,2,2,0.0,2,1,69,1.0
54,2,2,0.0,2,1,13,1.0
55,2,2,0.25,2,1,42,0.0
56,2,2,0.25,2,1,67,0.0
57,2,2,0.25,2,1,77,1.0
58,2,2,0.25,2,1,69,1.0
59,2,2,0.25,2,1,13,1.0
60,2,2,0.5,2,1,42,0.0
61,2,2,0.5,2,1,67,0.0
62,2,2,0.5,2,1,77,1.0
63,2,2,0.5,2,1,69,1.0
64,2,2,0.5,2,1,13,1.0
